date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,new_hosp,current_hosp,current_icu,current_vent,ncumul_released,ncumul_deceased,source
2020-03-03,,SZ,1,1,,,,,,,https://www.sz.ch/public/upload/assets/45351/MM_Coronavirus_4_3_2020.pdf
2020-03-04,,SZ,3,3,,1,,,,,https://www.sz.ch/public/upload/assets/45351/MM_Coronavirus_4_3_2020.pdf
2020-03-06,,SZ,6,6,,,,,,,https://www.sz.ch/public/upload/assets/45417/MM_Coronavirus_6_3_2020.pdf
2020-03-13,12:00,SZ,10,9,,,,,,,https://www.sz.ch/public/upload/assets/45585/MM_Coronavirus_13_03_2020.pdf
2020-03-14,03:03,SZ,10,12,,,,,,,https://www.bote.ch/nachrichten/schwyz/schwyz_bdu/coronavirus-einsatz-fuer-spitalbataillon-5
2020-03-15,,SZ,,13,,,,,,,https://www.sz.ch/public/upload/assets/45590/MM_Coronavirus_15_3_2020.pdf
2020-03-24,,SZ,,97,,,,,10,0,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-03-25,,SZ,,,,,,,10,0,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-03-26,,SZ,,107,,,,,20,0,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-03-27,,SZ,,119,,,,,32,1,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-03-28,,SZ,,122,,,,,33,1,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-03-29,,SZ,,128,,,,,33,2,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-03-30,,SZ,,135,,,,,33,2,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-03-31,,SZ,,140,,,,,48,4,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-01,,SZ,,146,,,,,65,4,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-02,,SZ,,155,,,,,65,4,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-03,,SZ,,165,,,,,75,4,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-04,,SZ,,168,,,,,92,5,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-05,,SZ,,170,,,,,93,5,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-06,,SZ,,178,,,,,93,6,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-07,,SZ,,185,,,,,105,7,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-08,,SZ,,196,,,,,107,7,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-09,,SZ,,213,,,,,113,9,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-10,,SZ,,215,,,,,118,10,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-11,,SZ,,249,,,,,118,10,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-12,,SZ,,251,,,,,119,11,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-13,,SZ,,251,,,,,128,12,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-14,,SZ,,258,,,,,128,13,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-15,,SZ,,261,,,,,144,13,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-16,,SZ,,265,,,,,154,14,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-04-17,,SZ,,266,,,,,161,14,https://www.sz.ch/public/upload/assets/46403/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
